#gene	differential_expression_T_test_p_value	4170686/tumor	4177987_tumor	4160468_tumor	4121361_tumor	4159170_tumor	4134005_tumor	4139696_tumor	4177601_tumor	4105105_tumor	4175837_tumor	4158726_tumor	4189200_tumor	4174905_tumor	4188900_tumor	normal_gcb_cells_SRR834985	normal_gcb_cells_SRR834984	normal_gcb_cells_SRR834986	normal_gcb_cells_SRR834983
DDX52	2.9720092546309113e-07	0.969000709472045	0.8752141521825282	1.3237086235206696	1.0745974631031983	1.679730941755659	1.2139989561077205	1.4559226537477208	0.9862866605224077	1.1361266479434775	1.0855142116325172	1.0541232640736193	1.011669758002396	0.9323437597746681	1.1973407072346445	1.6747843218036078	1.6741145120558405	1.6729699867954204	1.7262315809888833
DDX54	1.7345511751591741e-06	1.1902762127103044	1.4455108289922356	1.4525950763546223	1.5898983993720788	1.556780953683815	1.126563513451543	2.2133792147974094	1.2690115758876388	1.7614989010007163	1.2176052139744284	1.3392129162261923	1.6253284794387237	1.4551483975556456	1.466714345831736	2.3941421159514604	2.3584420379714	2.1558965448430465	2.1903762036945342
DDX55	5.589612350733496e-06	1.6990827873770014	1.2951984664198726	0.9578819978506338	1.9179827548950834	2.013478795618009	1.1524605469066256	2.989291072902292	1.6704547629350615	1.872040587014376	1.2499991548160905	1.9271203952319809	1.6359468226686291	1.0348843591990198	1.93599265479079	2.7808687335998425	2.995944197572824	2.607843528763874	3.0030983798145723
DDX56	6.460373030412589e-14	5.197776737060668	4.002544177047161	4.404723498499574	4.461825117192298	5.379164379400364	4.414347296829117	5.053046057573239	5.058503971349108	5.987068892875608	3.5000400524918245	5.628384298048791	5.277310943020706	3.8863559154369014	4.932456451463172	10.41450142794938	10.345495722548183	10.368796158418004	10.217405728994589
DDX6	0.003465636929257817	4.630034716204066	6.508713601912398	7.0193309639618855	6.002074826487923	6.547707798971564	7.938497863324721	2.8179063147979817	3.3352404371546274	7.0465615554399115	4.724216789040148	5.749044359899021	5.073155287469202	7.128800172066034	6.029132742975064	7.349073445981053	8.835351472625739	7.279939282223542	8.748447652743259
DECR1	5.385760957538604e-07	0.5678195320076912	0.4641941306397021	0.5563199021634888	0.7518282137918504	0.7660911306274145	0.5977697296909549	0.7546163429245705	0.6330168550748003	0.7721449006468056	0.816091205183107	0.9179431958768459	0.5747717141817426	0.68258311944298	1.3192506850717183	1.2564549962319402	1.1994166934804404	1.1663163876487905	1.235094833850283
DEF6	0.003134518322231346	7.756646146603935	7.077399245354645	5.16519219989655	9.240066813936037	8.668019591124068	4.984920722513107	5.263914798611924	8.454215906689369	8.735844554916312	4.960323734933526	8.8865947557658	7.324327762164809	6.5941409187083515	9.207759579419939	5.443130052033738	5.700927066828692	5.883702844421078	5.784139761397905
DEF8	0.00046394282390005594	7.535077339304542	7.3884941111555476	10.01883764186784	7.174774323223575	5.527899724155594	9.139167310527538	1.9105412352456044	6.964521055369582	6.802061437285709	1.9462210169565108	6.119382359297707	7.42249616823569	5.687816246328796	10.812038212234391	44.44275729498012	54.113363426822076	54.4774698017225	59.75267121429907
DEK	0.007911055874736348	5.692663558356452	6.758388896939334	8.253901090371498	6.160817258262894	6.8928648772869465	7.42249616823569	7.52489376617055	4.938034373856741	6.110741129113027	5.2925078549694335	5.183900336942794	7.146929152668065	7.894116973221865	6.694519829629551	13.751926449561118	15.063105761721317	11.092369154051667	17.33523189308166
DENND1C	0.02398072760040233	7.345646578789419	5.421673904435291	5.048501178982329	8.00583134067219	7.969778242138119	6.744954486882725	6.4130383061471505	6.338776296754299	9.888009683252086	7.382541218692934	9.865789030084406	6.564226538272047	6.124468415511146	9.437656074687062	10.01883764186784	8.010378699578844	8.593552064141965	9.044181099408462
DENND2D	0.0005164235482235559	13.741452690348735	14.346193375299233	10.028997905090115	15.499423752688545	13.86600298537487	8.178501300998025	7.544990985423869	15.020155634183276	10.914546190826162	13.806092517829212	14.210645846578082	11.574063148875037	9.801995400167726	15.435225930525613	7.308655250677863	9.77953174102634	7.969778242138119	7.243020109333189
DENND3	0.03968498132174318	5.967819511515076	4.230007154537805	4.667874621431311	3.665720614803911	1.9658727306925472	6.564226538272047	0.9626736066608567	2.177397671998895	4.316858958535931	6.389244757534725	3.528927674153096	2.535391326242559	2.3461252815070393	3.2409109112274415	5.278848242272995	4.163234080389085	5.357814547015551	5.020941501343788
DENND4A	0.0004610835166129882	0.4403876335445836	0.491837803641831	0.623841791389358	0.5198372259878004	0.3978216184334768	1.0365382064977167	0.22562193429796576	0.3502998787885266	0.39869615466940633	0.5713364015823457	0.3153982515455055	0.3469776292041347	0.49888220664044425	0.8036567858494479	1.1617278782449723	1.2214665635017439	1.5392900386589805	1.5005878689951566
DENND4B	9.427594698622754e-05	11.638317155098113	8.773484576966577	8.48753428656654	7.471266527758151	12.376767351570702	10.178674837243648	8.920694950468429	8.95937095721951	13.70457065327718	6.062488796224097	15.816056366337797	10.324850577921913	10.316470282070354	9.48308133153524	15.109390264860886	13.239138931898532	14.15675877422559	14.589514196124274
DENND6A	0.0001731965668758006	0.5688648098870981	0.6367298278542495	0.6574913775683964	0.5774493804516558	0.6220268000233153	0.643656319793758	0.9228163292303737	0.5451240593050968	0.6743889966726768	0.6675531740015415	0.44934544341798194	0.7128511402167921	0.8120008043862463	0.6899845501144085	1.0689861671477636	1.025293176143989	1.2371350125183793	1.1001109902865307
DENND6B	0.0017587615794943737	0.6998724067556475	0.3033074880028585	0.4811707930372768	0.40126193369567187	0.39687271460620616	0.2571584363541096	0.3203448564257344	1.1771549986555785	0.8691376949722207	0.5718779789005435	0.9571466488996955	0.316576957721537	0.6726290059327446	0.8325472850912989	2.7382026882766084	2.076388671432488	2.4459768541937077	1.806188056145697
DEPDC1	0.0037363682895139236	0.27139106395010587	0.5918685092441975	1.4268405547360092	0.5071220413366977	1.0057494530312459	0.8142284062166084	1.7877458927875989	0.43092319941272866	0.39595217606676675	0.4039990520251178	0.15773034736484395	0.47990583417459703	0.5533527480704797	0.8189028569324939	4.2653870974410335	5.379164379400364	3.7745118756587406	6.266749792948165
DESI1	3.0539264863237056e-05	2.20831606200743	2.4749144282973727	2.212514067351128	2.769401044212136	2.2012453477943037	2.1066601933623517	2.8960424806474965	2.3968463078420483	2.588764092531004	2.9416435881429654	2.303473876321941	2.344608627542059	2.0048750975977594	3.1840668582368155	3.50831766830026	3.4241341856343084	3.850122798772429	3.421389815905814
DESI2	0.001487038187618874	1.5104027600436105	1.7024068792837077	2.745354820482448	1.649932591896611	1.4148524190003142	2.222744224394818	2.705531564484797	1.9051766267244012	1.9446600216609715	1.5861039339503777	1.35691449624457	1.717396179014499	2.1452011721992936	1.7224744114099775	3.398855432321449	3.7587900043397084	3.3365952589121997	4.386159317177458
DFFA	0.007514607241845839	3.3048582844393906	3.948648621828128	5.641827787399197	3.6168622443743406	3.67639907040025	6.110741129113027	4.015892138998072	2.818623048015116	4.314766786758619	3.638901703128285	3.5540645844598164	3.6135515191622076	4.940125795141962	4.15787810932559	5.304931455256268	4.946194459900884	5.535561803102344	4.622967595789162
DFNB59	8.209495152158588e-05	3.0256887960441636	3.69363343066734	4.824752764852037	3.7916565764213885	3.5426066462369854	5.33494630270451	6.1767176875241026	3.471815258879298	4.684418269072638	3.9032067091022964	3.2007953248706555	3.7745118756587406	3.9777457808528447	4.3102926911202	2.85616440429304	2.8915170117675433	2.5409003851607768	2.9449224132250973
DGCR6L	7.790668683352872e-06	4.461825117192298	4.568728527814074	2.564210990749509	3.9233080678983066	4.612631817173851	2.3512438035542402	5.54215085567471	5.301293694985442	2.9324616576472198	3.8006601433586704	4.044213303698042	5.879846243478569	3.9387055869123366	4.030695625312788	2.3355967852749644	2.2350797287290534	1.709038487233835	2.193695271055299
DGKA	7.061245266788358e-07	4.932456451463172	4.693387621119514	3.2604655990488847	5.6135379730965855	5.96530014741755	4.374166865116134	5.0892456438391225	5.911271385908715	5.244473298761033	4.340609838143866	7.1426939887882765	5.091466559411376	3.074412488466452	5.5052439199518926	2.465399909836704	2.557782661171275	2.911835294445026	2.283437518825514
DGKD	0.0008951563265905068	2.5435857723939757	1.3178222523111154	1.524668093317821	0.9798009190502093	3.812994728044991	1.8116652305024568	0.4855627074749542	0.7244028391848322	1.5630173693521658	0.7251237899463367	1.350843732940738	1.9275769099497353	1.1797052334719493	1.6478668317409222	2.803985618831837	3.2534552880224785	4.0900987280862315	3.756807096976445
DGKQ	0.003125149277560397	1.8009002505695701	1.9786557514668779	1.1855912590616298	1.7501230146829971	2.517361298572898	1.5100653858064397	1.9396321723790868	1.9019990930947739	2.071783452148925	1.490457896681479	3.89274205374484	2.6301045993832095	1.9861234237322793	2.248437724694267	0.9745431464426902	1.5774410322825527	1.3443827558635926	1.3104744026246469
DGUOK	1.8815744906867205e-08	1.3350491848668857	0.9718695041149026	1.2259221607888935	1.9509372631053858	1.9710328176717415	1.1543150000399551	1.5481103053904026	1.4720869894640896	1.546919762863025	1.3556658141646478	1.431553384382746	1.5812232873570662	1.1744884661795065	1.7390383210875695	3.0612326862681347	2.8901786967594854	2.9427782757993466	2.7289534550798984
DHDDS	0.00036901178410261013	0.8636520510897895	0.9941563467456587	1.2301633693788014	0.9975323292044279	1.1622662638173962	1.238722250113637	0.8957835123635102	0.8829045497909891	1.2758356563056017	0.969000709472045	1.1034529585738728	1.1009194282648107	1.0215576669139979	1.2018305543205534	1.3218580661804047	1.25317075999113	1.3333932093095824	1.4258297802226765
DHFR	0.015978621668179024	1.0279997479414955	1.1240439616112632	2.943973165721814	2.038628419642123	2.0915896473851077	3.4041850677049625	3.815811740143758	1.7704016239295146	2.174087213731207	2.0184778792890556	1.2037325151129545	2.09891775545027	1.9509372631053858	2.538631378106064	4.582599123404053	4.719583893720978	3.0419666253775084	5.669478757752663
DHFRL1	0.0003385159380631469	1.3742718568535415	1.830423104978184	2.2962531145966425	1.6080679054414715	1.9945631711120515	2.174087213731207	1.1927579385956375	1.1734502205089017	1.7818582893317167	2.011920085185702	1.5861039339503777	1.5204004967035494	2.3837773837160405	1.592876285303663	1.164179202053865	1.1447182900541562	0.7874269872433444	1.1399945623638708
DHRS13	0.00013604987248397625	3.1653908582219987	2.467847565318777	2.0887332315194005	2.2872343079055617	2.9449224132250973	2.660042013661114	2.6689122527876665	3.3528741301724287	1.887666405260867	2.6301045993832095	2.539582031998337	2.7416342347706584	2.7483924218228504	2.8197467664213427	1.9670762291896589	2.0244871330555005	1.6094919027491825	1.8155217706759201
DHRS4-AS1	0.0002871546054234368	9.117378131127234	9.665479889172104	13.487547717068368	11.372965743895918	11.340226892381601	14.564149334156253	11.68151856816924	8.56996221578606	14.013051533639414	10.442106738879083	10.404020218871402	17.258565574395348	14.186817852763337	13.0242855716071	5.309954001007389	8.38339586032302	7.324327762164809	6.060041113112838
DHRS9	0.0012543252775281011	1.175756300699154	0.5518783769574692	0.4643855435836013	0.15979946777826398	0.263752881077379	2.0476581843542556	0.2754918286295492	0.11003681820143527	0.17255720476453862	0.11659211198866995	0.12153588122079147	0.33475949360620594	0.2655272580507649	0.6408996141253446	1.716666608004331	2.4292126158426823	1.7994040440555976	2.6730296428533022
DHX15	1.3135552461439521e-05	3.457093972231835	3.3591141264370306	3.41238590921579	3.461466022747717	4.3282454528392895	2.7382026882766084	3.6795339458888106	3.201716412702606	3.3591141264370306	3.0318745242180762	3.358046090683594	3.574744980992666	3.7719116955680443	3.346657969494466	5.464196576551793	5.992033876711382	5.903514255396379	6.1767176875241026
